id,stationname,lat,long,distance,freq
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,0.7885377532314564,16526
282,Kent Ave & S 11 St,40.70827295,-73.96834101,0.6344466774529814,2047
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,0.11322235965405292,19566
285,Broadway & E 14 St,40.73454567,-73.99074142,0.3598440404765599,22450
289,Monroe St & Classon Ave,40.6845683,-73.95881081,2.16945198796595,784
290,2 Ave & E 58 St,40.76020258,-73.96478473,0.33925349827972895,8179
291,Madison St & Montgomery St,40.713126,-73.984844,0.15620854893818809,4398
293,Lafayette St & E 8 St,40.73028666,-73.9907647,0.34106468441800813,29667
295,Pike St & E Broadway,40.71406667,-73.99293911,0.20113379892112926,6502
296,Division St & Bowery,40.71413089,-73.9970468,0.2909834812769478,6496
297,E 15 St & 3 Ave,40.734232,-73.986923,0.15926679079861739,11094
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,1.7211832426422886,1249
300,Shevchenko Pl & E 7 St,40.728145,-73.990214,0.31702836816254343,10162
301,E 2 St & Avenue B,40.72217444,-73.98368779,0.31284341612677447,10050
302,Avenue D & E 3 St,40.72082834,-73.97793172,0.3985675618439552,3737
303,Mercer St & Spring St,40.72362738,-73.99949601,0.20256651753185653,9153
304,Broadway & Battery Pl,40.70463334,-74.01361706,0.15645388596303667,8929
305,E 58 St & 3 Ave,40.76095756,-73.96724467,0.4703234556628096,12147
306,Cliff St & Fulton St,40.70823502,-74.00530063,0.31850280907789874,9527
307,Canal St & Rutgers St,40.71427487,-73.98990025,0.050092802488065524,10515
308,St James Pl & Oliver St,40.71307916,-73.99851193,0.26677285770091774,5578
309,Murray St & West St,40.7149787,-74.013012,0.16463324249606678,7118
310,State St & Smith St,40.68926942,-73.98912867,1.4761278556484638,5551
311,Norfolk St & Broome St,40.7172274,-73.98802084,0.1797266242648691,6864
312,Allen St & E Houston St,40.722055,-73.989111,0.10467956981202832,12512
313,Washington Ave & Park Ave,40.69610226,-73.96751037,1.2517558704355543,2346
314,Cadman Plaza West & Montague St,40.69383,-73.990539,1.1528800806665562,3221
316,Fulton St & William St,40.70955958,-74.00653609,0.22480284871215586,6810
317,E 6 St & Avenue B,40.72453734,-73.98185424,0.1323284278338274,9171
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,0.2619180622093516,17743
319,Fulton St & Broadway,40.711066,-74.009447,0.2103357737253925,7860
320,Leonard St & Church St,40.717571,-74.005549,0.3169754519736706,5708
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,0.7627600328611671,2927
322,Clinton St & Tillary St,40.696192,-73.991218,0.9860421532441925,1749
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,1.3133660643709106,3492
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,1.5123505056274364,4165
325,E 19 St & 3 Ave,40.73624527,-73.98473765,0.18386357012959492,10064
326,E 11 St & 1 Ave,40.72953837,-73.98426726,0.2516584812839215,10499
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,0.2390488327265228,22065
328,Watts St & Greenwich St,40.72405549,-74.00965965,0.10124039019090067,8585
329,Greenwich St & N Moore St,40.72043411,-74.01020609,0.2412994848747128,11888
331,Pike St & Monroe St,40.71173107,-73.99193043,0.20215539488942957,4096
332,Cherry St,40.71219906,-73.97948148,0.029259397648995718,4943
334,W 20 St & 7 Ave,40.74238787,-73.99726235,0.25413100048207415,11958
335,Washington Pl & Broadway,40.72903917,-73.99404649,0.151327466882228,8045
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,0.0816666122030682,10192
339,Avenue D & E 12 St,40.72580614,-73.97422494,0.3321327432631989,1811
340,Madison St & Clinton St,40.71269042,-73.98776323,0.16403519245829418,4342
341,Stanton St & Mangin St,40.71782143,-73.97628939,0.3214279162382387,4223
342,Columbia St & Rivington St,40.71739973,-73.98016555,0.13719330109123176,3987
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,1.0807033956915568,1777
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,2.2801364715617916,1554
345,W 13 St & 6 Ave,40.73649403,-73.99704374,0.3877292694348667,17166
346,Bank St & Hudson St,40.73652889,-74.00618026,0.03974790331981173,9165
347,Greenwich St & W Houston St,40.728846,-74.008591,0.1439034529974835,18565
348,W Broadway & Spring St,40.72490985,-74.00154702,0.06360860958309646,13110
350,Clinton St & Grand St,40.71559509,-73.9870295,0.12810531196808925,6862
352,W 56 St & 6 Ave,40.76340613,-73.97722479,0.7471484045958405,9756
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,1.8406337210621686,2078
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,1.5461772313668343,1620
355,Bayard St & Baxter St,40.71602118,-73.99974372,0.40327382731778766,8877
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,0.04613799194225478,4127
357,E 11 St & Broadway,40.73261787,-73.99158043,0.33783470981900665,7929
358,Christopher St & Greenwich St,40.73291553,-74.00711384,0.22089765375172063,21944
359,E 47 St & Park Ave,40.75510267,-73.97498696,0.43298544442016423,9447
360,William St & Pine St,40.70717936,-74.00887308,0.4135358009817125,6120
361,Allen St & Hester St,40.71605866,-73.99190759,0.16568776462595478,11025
362,Broadway & W 37 St,40.75172632,-73.98753523,0.269198271634974,8540
363,West Thames St,40.70834698,-74.01713445,0.2442224265263256,12051
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,1.8690657935709567,1714
365,Fulton St & Grand Ave,40.68223166,-73.9614583,2.2483194631439876,2200
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,1.3939074427009739,4579
367,E 53 St & Lexington Ave,40.75828065,-73.97069431,0.495422375829445,5976
368,Carmine St & 6 Ave,40.73038599,-74.00214988,0.21397405795665098,19319
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,0.16789457918000145,8306
372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,1.6377101598521435,1124
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,1.8554396245976452,1881
375,Mercer St & Bleecker St,40.72679454,-73.99695094,0.06724285963345698,13915
376,John St & William St,40.70862144,-74.00722156,0.29401805324489616,6813
377,6 Ave & Canal St,40.72243797,-74.00566443,0.26033395143614785,7342
379,W 31 St & 7 Ave,40.749156,-73.9916,0.38753586987563077,17160
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,0.20683058145384092,15412
